name,slug
Ada,
Agda,
Alef,
Android,
APL,
Arduino,
ASP.NET MVC,
Assembly Language,
Non-X86,
AutoHotkey,
Autotools,
Awk,
Bash,
Basic,
BETA,
C,
C#,
C++,
Chapel,
Cilk,
Clojure,
COBOL,
CoffeeScript,
ColdFusion,
Component Pascal,
Cool,
Coq,
Crystal,
CUDA,
D,
Dart,
DB2,
Delphi / Pascal,
DTrace,
Eiffel,
Elasticsearch,
Elixir,
Ecto,
Phoenix,
Elm,
Emacs,
Embedded Systems,
Erlang,
ESP8266,
F#,
Firefox OS,
Force.com,
Forth,
Fortran,
FreeBSD,
Git,
Go,
Graphical user interfaces,
Graphics Programming,
GraphQL,
Groovy,
Gradle,
Grails,
Spock Framework,
Hack,
Hadoop,
Haskell,
Haxe,
HTML / CSS,
Bootstrap,
HTTP,
Icon,
iOS,
IoT,
Isabelle/HOL,
J,
Java,
Codename One,
JasperReports,
Spring,
Spring Boot,
Spring Security,
Wicket,
JavaScript,
Angular.js,
Aurelia,
Backbone.js,
Booty5.js,
D3.js,
Dojo,
Elm,
Ember.js,
Express.js,
jQuery,
meteor,
Node.js,
Om,
React,
React Native,
Redux,
Jenkins,
Julia,
Language Agnostic,
Algorithms & Data Structures,
Cellular Automata,
Cloud Computing,
Competitive Programming,
Compiler Design,
Database,
Datamining,
Information Retrieval,
Licensing,
Machine Learning,
Mathematics,
Misc,
MOOC,
Networking,
Open Source Ecosystem,
Operating Systems,
Parallel Programming,
Partial Evaluation,
Professional Development,
Programming Paradigms,
Regular Expressions,
Reverse Engineering,
Security,
Software Architecture,
Standards,
Theoretical Computer Science,
Web Performance,
LaTeX / TeX,
LaTeX,
TeX,
Limbo,
Linux,
Lisp,
Livecode,
Lua,
Make,
Markdown,
Mathematica,
MATLAB,
Maven,
Mercurial,
Mercury,
Meta-Lists,
Modelica,
MySQL,
Neo4J,
.NET Framework,
NoSQL,
Oberon,
Objective-C,
OCaml,
Octave,
OpenGL ES,
OpenMP,
OpenResty,
OpenSCAD,
Perl,
Perl 6 / Raku,
PHP,
PicoLisp,
PostgreSQL,
PowerShell,
Processing,
Prolog,
Constraint Logic Programming,
PureScript,
Python,
Django,
Flask,
Kivy,
Pandas,
Pyramid,
Tornado,
QML,
R,
Racket,
Raspberry Pi,
REBOL,
Ruby,
RSpec,
Ruby on Rails,
Sinatra,
Rust,
Sage,
Scala,
Lift,
Play Scala,
Scheme,
Scilab,
Scratch,
Sed,
Self,
Smalltalk,
Spark,
SQL (implementation agnostic),
SQL Server,
Standard ML,
Subversion,
Swift,
Vapor,
Tcl,
Teradata,
Tizen,
TLA,
TypeScript,
Unix,
Verilog,
VHDL,
Vim,
Visual Basic,
Visual Prolog,
Web Services,
Windows 8,
Windows Phone,
Workflow,
xBase (dBase / Clipper / Harbour),